nD5/2 level, Energy (Hz), |<nD5/2||d||6P3/2>| (a.u.)
5D5/2,85876448971474.0,9.590
6D5/2,326755192087604.0,6.150
7D5/2,429796258241868.0,2.890
8D5/2,482383153092106.0,1.810
9D5/2,512749430955384.0,1.169
10D5/2,531850707416854.0,0.909
11D5/2,544640153467592.0,0.735
12D5/2,553620436546982.0,0.630
13D5/2,560166704659870.0,0.642
14D5/2,565085399518276.0,0.699
15D5/2,568874176602480.0,0.741
16D5/2,571854713219916.0,0.766
17D5/2,574241360978054.0,0.798
18D5/2,576182217351146.0,0.745
19D5/2,577781610114576.0,0.903
20D5/2,579115386760218.0,0.840
21D5/2,580239008892802.0,1.438
22D5/2,581194447456448.0,0.130
23D5/2,582013780244162.0,1.456
24D5/2,582721590237500.0,1.288
25D5/2,583337363946232.0,0.149
26D5/2,1282384423736892.0,0.998
27D5/2,1730342408876858.2,0.713
28D5/2,2411041870445460.0,0.462
29D5/2,3439515572916962.0,0.280
30D5/2,4988270392266182.0,0.158
31D5/2,7314393051058562.0,0.081
32D5/2,1.0801189192319162e+16,0.035
33D5/2,1.6021217441959282e+16,0.008
34D5/2,2.3830346294549384e+16,0.005
35D5/2,3.55062102621218e+16,0.010
36D5/2,5.29520927290074e+16,0.011
37D5/2,7.900213865747621e+16,0.010
38D5/2,1.178869592563326e+17,0.008
39D5/2,1.759391905328938e+17,0.006
40D5/2,2.62608260784074e+17,0.005
41D5/2,3.918505282241304e+17,0.003
42D5/2,5.840786814428082e+17,0.002
