# n, l, j, Dipole Matrix Element (Cm), Resonant Wavlength (m), Linewidth (rad/s), Magnetic Dipole Constant (Hz)
6,0,0.5,3.8059313942985517e-29,-8.9459299165433006e-07,2.8514051343518674e+07,2.9192e+08
7,0,0.5,3.5973639799529416e-29,1.3592016191828425e-06,7.2632435137928771e+06,0
8,0,0.5,8.8572869444272584e-30,7.6109983567545651e-07,2.5077834704232309e+06,0
9,0,0.5,4.7205991496980794e-30,6.3563113485076092e-07,1.2229036828729380e+06,0
10,0,0.5,3.1317277627374565e-30,5.8404525902532152e-07,6.9381228750029393e+05,0
11,0,0.5,2.3024868785612509e-30,5.5699562462340887e-07,4.3236692873380054e+05,0
12,0,0.5,1.7972741452632046e-30,5.4081721663114220e-07,2.8779988664935401e+05,0
13,0,0.5,1.4593020648475948e-30,5.3029240775111125e-07,2.0126008742226500e+05,0
14,0,0.5,1.2185722903040511e-30,5.2302958478870622e-07,1.4626395822843449e+05,0
15,0,0.5,1.0391983740188454e-30,5.1779249785415516e-07,1.0963346662718392e+05,0
16,0,0.5,9.0091430304443988e-31,5.1388478002638679e-07,8.4291384899515935e+04,0
17,0,0.5,7.9142678269898120e-31,5.1088787724092541e-07,6.6200029776068826e+04,0
18,0,0.5,7.0285633438356876e-31,5.0853706463905445e-07,5.2939371587541522e+04,0
19,0,0.5,6.2992651173434550e-31,5.0665786806777185e-07,4.2998062908694701e+04,0
20,0,0.5,5.6897571970857378e-31,5.0513130912248563e-07,3.5398763747304954e+04,0
21,0,0.5,5.1738660493281564e-31,5.0387389042845097e-07,2.9490238711035981e+04,0
22,0,0.5,4.7324086389789127e-31,5.0282555857430818e-07,2.4827096588465407e+04,0
23,0,0.5,4.3510210234152589e-31,5.0194219397354279e-07,0.0000000000000000e+00,0
24,0,0.5,4.0187462770109292e-31,5.0119077490939941e-07,0.0000000000000000e+00,0
25,0,0.5,3.7270895251277173e-31,5.0054617693261611e-07,0.0000000000000000e+00,0
26,0,0.5,3.4693695889575087e-31,4.9998900294275085e-07,0.0000000000000000e+00,0
27,0,0.5,3.2402642709963962e-31,4.9950408031683100e-07,0.0000000000000000e+00,0
28,0,0.5,3.0354851855203060e-31,4.9907940002051370e-07,0.0000000000000000e+00,0
29,0,0.5,2.8515411533872002e-31,4.9870535479724322e-07,0.0000000000000000e+00,0
30,0,0.5,2.6855633340500451e-31,4.9837418359946810e-07,0.0000000000000000e+00,0
