# n, l, j, Dipole Matrix Element (Cm), Resonant Wavlength (m), Linewidth (rad/s), Magnetic Dipole Constant (Hz), Electric Quadrupole Constant (Hz)
6,0,0.5,5.3617086517139759e-29,-8.5234706549690566e-07,6.5429033152363956e+07,5.0275e+07,-5.3e+05
7,0,0.5,5.4854925642930771e-29,1.4698921981061910e-06,1.3353290530386005e+07,0,0
8,0,0.5,1.2386869608086844e-29,7.9460684442551508e-07,4.3100242950240476e+06,0,0
9,0,0.5,6.5283296360211281e-30,6.5883314062463967e-07,2.1003483533859560e+06,0,0
10,0,0.5,4.3154802399152656e-30,6.0357606748463301e-07,1.1936464817683189e+06,0,0
11,0,0.5,3.2302514173039616e-30,5.7473180140487448e-07,7.7462312352522893e+05,0,0
12,0,0.5,2.5180700024652925e-30,5.5752268141648680e-07,5.1565765456530947e+05,0,0
13,0,0.5,2.0432823925728468e-30,5.4634419247050284e-07,3.6080394988067256e+05,0,0
14,0,0.5,1.8567586886865289e-30,5.3863841903160348e-07,3.1090838904521719e+05,0,0
15,0,0.5,1.9839339413362914e-30,5.3308569725743409e-07,3.6616498699912144e+05,0,0
16,0,0.5,2.1280658943393550e-30,5.2894464435613424e-07,4.3127368681769277e+05,0,0
17,0,0.5,2.1958926957525613e-30,5.2577009545881853e-07,4.6757154852375301e+05,0,0
18,0,0.5,2.0263256922195453e-30,5.2328048723692727e-07,4.0385770358668058e+05,0,0
19,0,0.5,3.1878596664207070e-30,5.2129109207356044e-07,1.0110461270466206e+06,0,0
20,0,0.5,1.8058885876266238e-30,5.1967516145008078e-07,3.2749111285250023e+05,0,0
21,0,0.5,2.9589442116511351e-30,5.1834446996427049e-07,8.8599574526235054e+05,0,0
22,0,0.5,4.0017812833791851e-30,5.1723504763993410e-07,1.6310089863445715e+06,0,0
23,0,0.5,4.9004864021041711e-30,5.1630037736394584e-07,0.0000000000000000e+00,0,0
24,0,0.5,2.2043710459292119e-31,5.1550537053495020e-07,0.0000000000000000e+00,0,0
25,0,0.5,3.9339544819659789e-30,5.1482357253580995e-07,0.0000000000000000e+00,0,0
26,0,0.5,2.7554638074115156e-30,1.5991326304612376e-07,0.0000000000000000e+00,0,0
27,0,0.5,1.7889318872733223e-30,9.7750286921529684e-08,0.0000000000000000e+00,0,0
28,0,0.5,1.1191422233179078e-30,5.7878981878611681e-08,0.0000000000000000e+00,0,0
29,0,0.5,6.8674636430871620e-31,3.3696867495391700e-08,0.0000000000000000e+00,0,0
30,0,0.5,4.0696080847923916e-31,1.9457653326454144e-08,0.0000000000000000e+00,0,0
