# n, l, j, Dipole Matrix Element (Cm), Resonant Wavlength (m), Linewidth (rad/s), Magnetic Dipole Constant (Hz)
6,1,0.5,3.8059313942985512e-29,8.9459281266242450e-07,2.8514068458966035e+07,2.2981579425e+09
7,1,0.5,2.3400246487556254e-30,4.5944586234542520e-07,7.9570359646733361e+05,0
8,1,0.5,6.8674636430871620e-31,3.8897126435887426e-07,1.1294153165620018e+05,0
9,1,0.5,3.6456905759598506e-31,3.6183377356442451e-07,3.9540831504162903e+04,0
10,1,0.5,3.9848245830258838e-31,3.4810687298728958e-07,5.3051065740273123e+04,0
11,1,0.5,2.8826390600612778e-31,3.4009649217676044e-07,2.9770598625210645e+04,0
12,1,0.5,2.2043710459292119e-31,3.3498110539075042e-07,1.8218891647227509e+04,0
13,1,0.5,1.7804535370966716e-31,3.3150266511567622e-07,1.2263479452475312e+04,0
14,1,0.5,1.4413195300306389e-31,3.2902453766294533e-07,8.2195713787414024e+03,0
15,1,0.5,1.2717525264976225e-31,3.2719397465751787e-07,6.5073297839427332e+03,0
16,1,0.5,1.8652370388631794e-31,3.2580219831775292e-07,1.4178148530094459e+04,0
17,1,0.5,1.9500205406296875e-31,3.2471844475451448e-07,1.5652041414833919e+04,0
18,1,0.5,1.6108865335636550e-31,3.2385779404263586e-07,1.0766643494635384e+04,0
19,1,0.5,8.4783501766508166e-32,3.2316265067054635e-07,3.0017374671609450e+03,0
20,1,0.5,2.9674225618277861e-31,3.2259323670375522e-07,3.6966344440276807e+04,0
21,1,0.5,1.6956700353301635e-32,3.2212022106466528e-07,1.2123896410798305e+02,0
22,1,0.5,2.2891545476957207e-31,3.2172340795171576e-07,2.2177660863969923e+04,0
23,1,0.5,1.6956700353301635e-32,3.2138715839758933e-07,0.0000000000000000e+00,0
24,1,0.5,0.0000000000000000e+00,3.2109975381281873e-07,0.0000000000000000e+00,0
25,1,0.5,2.6282885547617529e-31,3.2085197750699299e-07,0.0000000000000000e+00,0
26,1,0.5,3.8152575794928676e-31,1.2538736860187440e-07,0.0000000000000000e+00,0
27,1,0.5,3.7304740777263589e-31,8.0654332468450052e-08,0.0000000000000000e+00,0
28,1,0.5,3.3913400706603266e-31,4.9743720352742671e-08,0.0000000000000000e+00,0
29,1,0.5,2.9674225618277861e-31,2.9917547239807092e-08,0.0000000000000000e+00,0
30,1,0.5,2.4587215512287368e-31,1.7741175760941206e-08,0.0000000000000000e+00,0
31,1,0.5,1.8652370388631794e-31,1.0437281384618098e-08,0.0000000000000000e+00,0
32,1,0.5,1.2717525264976225e-31,6.1113039567026340e-09,0.0000000000000000e+00,0
33,1,0.5,8.4783501766508166e-32,3.5652593993607490e-09,0.0000000000000000e+00,0
34,1,0.5,5.9348451236555713e-32,2.0714934535628134e-09,0.0000000000000000e+00,0
35,1,0.5,3.3913400706603271e-32,1.1997943072639626e-09,0.0000000000000000e+00,0
36,1,0.5,1.6956700353301635e-32,6.9517326602758461e-10,0.0000000000000000e+00,0
37,1,0.5,0.0000000000000000e+00,5.2441041323855212e-10,0.0000000000000000e+00,0
38,1,0.5,8.4783501766508177e-33,4.0427068315519687e-10,0.0000000000000000e+00,0
39,1,0.5,8.4783501766508177e-33,2.3661334001403210e-10,0.0000000000000000e+00,0
40,1,0.5,0.0000000000000000e+00,1.3989300982608501e-10,0.0000000000000000e+00,0
6,1,1.5,5.3617086517139759e-29,8.5234706549690566e-07,3.2714516576181978e+07,0
7,1,1.5,4.9683132035173781e-30,4.5565559727335686e-07,1.8386171167865302e+06,0
8,1,1.5,1.8482803385098781e-30,3.8772448763178272e-07,4.1299946626923431e+05,0
9,1,1.5,1.0767504724346537e-30,3.6124975073767197e-07,1.7329696985603793e+05,0
10,1,1.5,9.6653192013819315e-31,3.4778157091544455e-07,1.5649346391497503e+05,0
11,1,1.5,7.2065976501531942e-31,3.3989535301871260e-07,9.3198380503056789e+04,0
12,1,1.5,5.6804946183560477e-31,3.3484751379069487e-07,6.0564001947424251e+04,0
13,1,1.5,4.6630925971579492e-31,3.3140917168254448e-07,4.2095726065828530e+04,0
14,1,1.5,3.9000410812593750e-31,3.2895645800739234e-07,3.0109712477378238e+04,0
15,1,1.5,3.3065565688938183e-31,3.2714280994082313e-07,2.2005096147631655e+04,0
16,1,1.5,5.2565771095235059e-31,3.2576271639195643e-07,5.6322956182573362e+04,0
17,1,1.5,5.5109276148230303e-31,3.2468744774561392e-07,6.2522510862351926e+04,0
18,1,1.5,5.2565771095235059e-31,3.2383293847303706e-07,5.7335883947355243e+04,0
19,1,1.5,3.3065565688938183e-31,3.2314239172548664e-07,2.2832507252453652e+04,0
20,1,1.5,9.4957521978489140e-31,3.2257648288409182e-07,1.8929717534314396e+05,0
21,1,1.5,1.1869690247311143e-31,3.2210621387981444e-07,2.9707421460683654e+03,0
22,1,1.5,1.0089236710214472e-30,3.2171129821125302e-07,2.1542751837219810e+05,0
23,1,1.5,6.8674636430871620e-31,3.2137713960847907e-07,0.0000000000000000e+00,0
24,1,1.5,3.3913400706603271e-32,3.2109078392388351e-07,0.0000000000000000e+00,0
25,1,1.5,2.7130720565282617e-31,3.2084456556683286e-07,0.0000000000000000e+00,0
26,1,1.5,8.4783501766508177e-33,1.2086629709781890e-07,0.0000000000000000e+00,0
27,1,1.5,1.4413195300306389e-31,7.7370995470701933e-08,0.0000000000000000e+00,0
28,1,1.5,2.1195875441627041e-31,4.7561385101681486e-08,0.0000000000000000e+00,0
29,1,1.5,2.4587215512287368e-31,2.8545264797294369e-08,0.0000000000000000e+00,0
30,1,1.5,2.4587215512287368e-31,1.6904184546363531e-08,0.0000000000000000e+00,0
31,1,1.5,1.9500205406296875e-31,9.9342550997498557e-09,0.0000000000000000e+00,0
32,1,1.5,1.4413195300306389e-31,5.8106022573027653e-09,0.0000000000000000e+00,0
33,1,1.5,1.0174020211980979e-31,3.3856827601710991e-09,0.0000000000000000e+00,0
34,1,1.5,6.7826801413206541e-32,1.9647697142537165e-09,0.0000000000000000e+00,0
35,1,1.5,4.2391750883254083e-32,1.1370527161517315e-09,0.0000000000000000e+00,0
36,1,1.5,2.5435050529952448e-32,6.5850250866408218e-10,0.0000000000000000e+00,0
37,1,1.5,0.0000000000000000e+00,5.2440799319444279e-10,0.0000000000000000e+00,0
38,1,1.5,1.6956700353301635e-32,3.8284355519244973e-10,0.0000000000000000e+00,0
39,1,1.5,8.4783501766508177e-33,2.2408682378439620e-10,0.0000000000000000e+00,0
40,1,1.5,8.4783501766508177e-33,1.3252958908617774e-10,0.0000000000000000e+00,0
