# n, l, j, Dipole Matrix Element (Cm), Resonant Wavlength (m), Linewidth (rad/s), Magnetic Dipole Constant (Hz)
4,0,0.5,3.474427902391506e-29,-7.701096328391032e-07,37249709.03452292,15245000.0
5,0,0.5,3.2777301782932055e-29,1.2435627568355688e-06,0.0,0.0
6,0,0.5,7.734943779955202e-30,6.912981256383476e-07,0.0,0.0
7,0,0.5,-4.0742905747579526e-30,5.78398474852832e-07,0.0,0.0
8,0,0.5,2.6864962234640965e-30,5.324752198199769e-07,0.0,0.0
9,0,0.5,-1.967401650230575e-30,5.085642961456893e-07,0.0,0.0
10,0,0.5,1.5313983962124993e-30,4.943379617925526e-07,0.0,0.0
11,0,0.5,-1.2407560948297135e-30,4.851210969403295e-07,0.0,0.0
12,0,0.5,1.034309127878636e-30,4.787820702161419e-07,0.0,0.0
13,0,0.5,-8.808242355949718e-31,4.7422379894997284e-07,0.0,0.0
14,0,0.5,7.627191886580229e-31,4.7083057427586604e-07,0.0,0.0
15,0,0.5,-6.693567031813451e-31,4.6823349042525904e-07,0.0,0.0
16,0,0.5,5.939339686885798e-31,4.6619986624112145e-07,0.0,0.0
17,0,0.5,-5.3190434568667505e-31,4.645767187680993e-07,0.0,0.0
18,0,0.5,4.801180631636204e-31,4.632599497090325e-07,0.0,0.0
19,0,0.5,-4.363270367643715e-31,4.6217664508149773e-07,0.0,0.0
20,0,0.5,3.988858472007183e-31,4.612744542319721e-07,0.0,0.0
21,0,0.5,-3.665639464834477e-31,4.605149769055224e-07,0.0,0.0
22,0,0.5,3.384237134397347e-31,4.598695130587448e-07,0.0,0.0
23,0,0.5,-3.137389569106709e-31,4.5931625480567225e-07,0.0,0.0
24,0,0.5,2.9193906813005783e-31,4.5883838566677334e-07,0.0,0.0
25,0,0.5,-2.72569897090974e-31,4.5842276605638754e-07,0.0,0.0
26,0,0.5,2.5526580425241477e-31,4.580590066208764e-07,0.0,0.0
27,0,0.5,-2.3972934421235734e-31,4.577388036555124e-07,0.0,0.0
28,0,0.5,2.257162641823654e-31,4.5745545501162314e-07,0.0,0.0
29,0,0.5,-2.130242688703345e-31,4.572035024610242e-07,0.0,0.0
30,0,0.5,2.014844973786877e-31,4.5697846405687815e-07,0.0,0.0
31,0,0.5,-1.909549810956454e-31,4.567766314642743e-07,0.0,0.0
32,0,0.5,1.8131556794915464e-31,4.565949148121363e-07,0.0,0.0
33,0,0.5,-1.7246394516107205e-31,4.56430722726084e-07,0.0,0.0
34,0,0.5,1.6431249421878376e-31,4.562818686985343e-07,0.0,0.0
35,0,0.5,-1.5678578279304738e-31,4.5614649738033253e-07,0.0,0.0
36,0,0.5,1.498185488828421e-31,4.5602302608660504e-07,0.0,0.0
37,0,0.5,-1.4335406864123306e-31,4.559100980264052e-07,0.0,0.0
38,0,0.5,1.3734282582803121e-31,4.558065446424643e-07,0.0,0.0
39,0,0.5,-1.3174142019437992e-31,4.557113550857991e-07,0.0,0.0
40,0,0.5,1.265116664978261e-31,4.556236513195017e-07,0.0,0.0
41,0,0.5,-1.2161984666257643e-31,4.5554266769464876e-07,0.0,0.0
4,2,1.5,1.6443348895955426e-30,6.938193430360241e-07,0.0,0.0
5,2,1.5,2.443439545816022e-30,5.813753351357863e-07,0.0,0.0
6,2,1.5,-2.637429484354785e-30,5.344449559853927e-07,0.0,0.0
7,2,1.5,2.3390024891152734e-30,5.098585122061969e-07,0.0,0.0
8,2,1.5,-2.011273070233076e-30,4.952192104914705e-07,0.0,0.0
9,2,1.5,1.7295191647325472e-30,4.857440558752849e-07,0.0,0.0
10,2,1.5,-1.4987563908561487e-30,4.792372453939793e-07,0.0,0.0
11,2,1.5,1.3110159909757509e-30,4.745658903777863e-07,0.0,0.0
12,2,1.5,-1.157403153539507e-30,4.710939089328457e-07,0.0,0.0
13,2,1.5,1.0305067271166031e-30,4.684403884560359e-07,0.0,0.0
14,2,1.5,-9.24579111362422e-31,4.66365309445928e-07,0.0,0.0
15,2,1.5,8.352464041046127e-31,4.647110494268033e-07,0.0,0.0
16,2,1.5,-7.591823077338216e-31,4.6337048593936516e-07,0.0,0.0
17,2,1.5,6.938406545621953e-31,4.6226867932440885e-07,0.0,0.0
18,2,1.5,-6.372540562476393e-31,4.6135188871578896e-07,0.0,0.0
