# n, l, j, Dipole Matrix Element (Cm), Resonant Wavlength (m), Linewidth (rad/s), Magnetic Dipole Constant (Hz)
4,1,0.5,3.474427902391506e-29,7.701096328391032e-07,37422651.68956162,127006935.2
5,1,0.5,2.3315462985789756e-30,4.0483481978580963e-07,0.0,0.0
6,1,0.5,7.121814148386689e-31,3.448361795142991e-07,0.0,0.0
7,1,0.5,3.3065565688938197e-31,3.2185487507273836e-07,0.0,0.0
8,1,0.5,-3.3248835614910513e-31,3.102945492846321e-07,0.0,0.0
9,1,0.5,2.3638761392347807e-31,3.0358030624312526e-07,0.0,0.0
10,1,0.5,-1.7975918741284504e-31,2.9930944704398987e-07,0.0,0.0
11,1,0.5,1.4308179186314855e-31,2.96414797369745e-07,0.0,0.0
12,1,0.5,-1.1767942369049813e-31,2.9435820409499506e-07,0.0,0.0
13,1,0.5,9.918960127168491e-32,2.928426383304122e-07,0.0,0.0
14,1,0.5,-8.52082056251285e-32,2.9169261648659925e-07,0.0,0.0
15,1,0.5,7.431318581194118e-32,2.9079878347375534e-07,0.0,0.0
16,1,0.5,-6.561473121290387e-32,2.9008999320473586e-07,0.0,0.0
17,1,0.5,5.853003602130371e-32,2.8951828063261124e-07,0.0,0.0
18,1,0.5,-5.266267037897507e-32,2.8905032518984457e-07,0.0,0.0
19,1,0.5,4.773428221549856e-32,2.8866237937909705e-07,0.0,0.0
20,1,0.5,-4.354407891450081e-32,2.8833713943474405e-07,0.0,0.0
21,1,0.5,3.9943813690966355e-32,2.880617503948984e-07,0.0,0.0
22,1,0.5,-3.6821805661129006e-32,2.8782649782633173e-07,0.0,0.0
23,1,0.5,3.4092421558805005e-32,2.8762392826464034e-07,0.0,0.0
24,1,0.5,-3.168896905203423e-32,2.8744824472372415e-07,0.0,0.0
25,1,0.5,2.9558782787664395e-32,2.872948830134676e-07,0.0,0.0
26,1,0.5,-2.7659755704225945e-32,2.871602095020897e-07,0.0,0.0
27,1,0.5,2.595784510781738e-32,2.870413020507156e-07,0.0,0.0
28,1,0.5,-2.4425249561663694e-32,2.869357889190779e-07,0.0,0.0
29,1,0.5,2.3039055935056698e-32,2.8684172872803907e-07,0.0,0.0
30,1,0.5,-2.1780221610915334e-32,2.8675751992725386e-07,0.0,0.0
31,1,0.5,2.0632799270440282e-32,2.866818317522046e-07,0.0,0.0
32,1,0.5,-1.9583339528571366e-32,2.8661355102660124e-07,0.0,0.0
33,1,0.5,1.8620425957572197e-32,2.8655174078227537e-07,0.0,0.0
34,1,0.5,-1.773430944918836e-32,2.864956077860682e-07,0.0,0.0
35,1,0.5,1.691661827925718e-32,2.864444768461982e-07,0.0,0.0
36,1,0.5,-1.6160126129055832e-32,2.8639777032614975e-07,0.0,0.0
37,1,0.5,1.5458565246824976e-32,2.863549916929235e-07,0.0,0.0
38,1,0.5,-1.480647455552657e-32,2.8631571221587534e-07,0.0,0.0
39,1,0.5,1.4199075744755138e-32,2.8627956014450905e-07,0.0,0.0
40,1,0.5,-1.3632171193095535e-32,2.8624621185057993e-07,0.0,0.0
41,1,0.5,1.3102059579670893e-32,2.862153845370961e-07,0.0,0.0
4,1,1.5,4.9123560923514835e-29,7.667017797571291e-07,37919023.32882881,0.0
5,1,1.5,3.4422101717202326e-30,4.045280209140797e-07,0.0,0.0
6,1,1.5,1.0852288226113045e-30,3.4473570411622974e-07,0.0,0.0
7,1,1.5,5.171793607757e-31,3.218083163705899e-07,0.0,0.0
8,1,1.5,-5.0796242472125025e-31,3.1026883324151396e-07,0.0,0.0
9,1,1.5,3.6368459854364255e-31,3.035644948945753e-07,0.0,0.0
10,1,1.5,-2.77992989415309e-31,2.992989913883706e-07,0.0,0.0
11,1,1.5,2.221334558050574e-31,2.964075070676307e-07,0.0,0.0
12,1,1.5,-1.8324184957192935e-31,2.943529109162628e-07,0.0,0.0
13,1,1.5,1.5481118359088086e-31,2.9283867011699443e-07,0.0,0.0
14,1,1.5,-1.3323623314114781e-31,2.916895631345579e-07,0.0,0.0
15,1,1.5,1.1637417786710813e-31,2.907963827537005e-07,0.0,0.0
16,1,1.5,-1.0287839896360556e-31,2.9008807087257407e-07,0.0,0.0
17,1,1.5,9.186347836438087e-32,2.895167171282385e-07,0.0,0.0
18,1,1.5,-8.2725066248919e-32,2.890490362055839e-07,0.0,0.0
19,1,1.5,7.503751258559453e-32,2.8866130405200783e-07,0.0,0.0
20,1,1.5,-6.849292504514682e-32,2.883362329187424e-07,0.0,0.0
21,1,1.5,6.286342585894195e-32,2.880609790459589e-07,0.0,0.0
22,1,1.5,-5.797696716394401e-32,2.878258359986484e-07,0.0,0.0
23,1,1.5,5.370136837257347e-32,2.8762335612887334e-07,0.0,0.0
24,1,1.5,-4.9933503504381e-32,2.874477467503893e-07,0.0,0.0
25,1,1.5,4.659180669851613e-32,2.872944468990836e-07,0.0,0.0
26,1,1.5,-4.3610970709141134e-32,2.871598253960905e-07,0.0,0.0
27,1,1.5,4.0938127464748175e-32,2.8704096199045e-07,0.0,0.0
28,1,1.5,-3.853005075966687e-32,2.869354864111879e-07,0.0,0.0
29,1,1.5,3.635107673261026e-32,2.868414584343795e-07,0.0,0.0
30,1,1.5,-3.4371537169659837e-32,2.8675727742651754e-07,0.0,0.0
31,1,1.5,3.2566564161349463e-32,2.866816133570749e-07,0.0,0.0
32,1,1.5,-3.0915168131074667e-32,2.8661335364211295e-07,0.0,0.0
33,1,1.5,2.939951886438953e-32,2.86551561795094e-07,0.0,0.0
34,1,1.5,-2.80043798381377e-32,2.8649544497720144e-07,0.0,0.0
