# n, l, j, Dipole Matrix Element (Cm), Resonant Wavlength (m), Linewidth (rad/s), Magnetic Dipole Constant (Hz)
3,0,0.5,2.116869422714255e-29,-5.897575791002744e-07,61576001.8465211,0
4,0,0.5,2.1432478578882636e-29,1.1384619035941868e-06,0.0,0
5,0,0.5,4.5582642028676305e-30,6.155915597926093e-07,0.0,0
6,0,0.5,-2.3528804257549854e-30,5.150270469888298e-07,0.0,0
7,0,0.5,1.536916561305796e-30,4.749270214267554e-07,0.0,0
8,0,0.5,-1.119122297114441e-30,4.5429090220801643e-07,0.0,0
9,0,0.5,8.676693340463987e-31,4.421127740943132e-07,0.0,0
10,0,0.5,-7.0091782869842925e-31,4.342713758222814e-07,0.0,0
11,0,0.5,5.829370047420804e-31,4.289045851304265e-07,0.0,0
12,0,0.5,-4.954966712906039e-31,4.2506075822137843e-07,0.0,0
13,0,0.5,4.283845985850286e-31,4.2220886037447344e-07,0.0,0
14,0,0.5,-3.7544656940874806e-31,4.200322393461385e-07,0.0,0
15,0,0.5,3.3275959376093955e-31,4.183319866221196e-07,0.0,0
16,0,0.5,-2.977089949716166e-31,4.169777860968889e-07,0.0,0
17,0,0.5,2.684877409476385e-31,4.158812378495162e-07,0.0,0
18,0,0.5,-2.438088126566461e-31,4.149805931938654e-07,0.0,0
19,0,0.5,2.2273197589247216e-31,4.142316262275525e-07,0.0,0
20,0,0.5,-2.0455524425063597e-31,4.1360196752826214e-07,0.0,0
21,0,0.5,1.8874454764031812e-31,4.1306747238702314e-07,0.0,0
22,0,0.5,-1.7488681760656e-31,4.126098273247369e-07,0.0,0
23,0,0.5,1.6265789306905557e-31,4.1221493364727453e-07,0.0,0
24,0,0.5,-1.5180007215744916e-31,4.1187179188205875e-07,0.0,0
25,0,0.5,1.421060993282263e-31,4.1157171687242504e-07,0.0,0
26,0,0.5,-1.334075407567765e-31,4.113077758552912e-07,0.0,0
27,0,0.5,1.2556621133848763e-31,4.110743798187801e-07,0.0,0
28,0,0.5,-1.184677615682589e-31,4.1086698206706133e-07,0.0,0
29,0,0.5,1.120168176567689e-31,4.106818529589748e-07,0.0,0
30,0,0.5,-1.0613325506495294e-31,4.1051590955490376e-07,0.0,0
31,0,0.5,1.0074930995102675e-31,4.103665853690971e-07,0.0,0
32,0,0.5,-9.58073178840568e-32,4.1023172977361273e-07,0.0,0
33,0,0.5,9.125792714149374e-32,4.1010952957256203e-07,0.0,0
34,0,0.5,-8.705867507545923e-32,4.099984473263984e-07,0.0,0
35,0,0.5,8.317284469219907e-32,4.098971724542267e-07,0.0,0
36,0,0.5,-7.956853953454144e-32,4.0980458217234926e-07,0.0,0
37,0,0.5,7.62179300661986e-32,4.0971971006862777e-07,0.0,0
38,0,0.5,-7.309663574891188e-32,4.0964172065147294e-07,0.0,0
39,0,0.5,7.018321537625662e-32,4.095698886084444e-07,0.0,0
40,0,0.5,-6.745874426117754e-32,4.095035818032565e-07,0.0,0
41,0,0.5,6.49064616445463e-32,4.094422472598196e-07,0.0,0
3,2,1.5,-4.1056418648425815e-29,8.185514060043063e-07,0.0,0
4,2,1.5,1.1638394037468722e-29,5.684263694915967e-07,0.0,0
5,2,1.5,-6.075997889439478e-30,4.979899801825945e-07,0.0,0
6,2,1.5,3.942008757122085e-30,4.666112488457349e-07,0.0,0
