# n, l, j, Dipole Matrix Element (Cm), Resonant Wavlength (m), Linewidth (rad/s), Magnetic Dipole Constant (Hz)
3,1,0.5,2.116869422714255e-29,5.897575791002744e-07,0.0,0
4,1,0.5,1.8285051654711068e-30,3.303935270525514e-07,0.0,0
5,1,0.5,6.4147558264068345e-31,2.8538559785406714e-07,0.0,0
6,1,0.5,3.3572553857830165e-31,2.681232892171946e-07,0.0,0
7,1,0.5,-2.4797752812183852e-31,2.594699089105859e-07,0.0,0
8,1,0.5,1.7812428909530413e-31,2.544639775627654e-07,0.0,0
9,1,0.5,-1.3645369706105818e-31,2.512914655046424e-07,0.0,0
10,1,0.5,1.0919884215526743e-31,2.4914821241826995e-07,0.0,0
11,1,0.5,-9.017374450581687e-32,2.4762977430759687e-07,0.0,0
12,1,0.5,7.623797293034733e-32,2.4651354496813134e-07,0.0,0
13,1,0.5,-6.564608789372574e-32,2.456683649767923e-07,0.0,0
14,1,0.5,5.73578233432989e-32,2.450127074623619e-07,0.0,0
15,1,0.5,-5.071788338613474e-32,2.444936552868459e-07,0.0,0
16,1,0.5,4.5294508870182294e-32,2.4407560943565033e-07,0.0,0
17,1,0.5,-4.0792467423978023e-32,2.437338883601914e-07,0.0,0
18,1,0.5,3.7003498488297e-32,2.4345093316481003e-07,0.0,0
19,1,0.5,-3.3776753617063367e-32,2.432139705019876e-07,0.0,0
20,1,0.5,3.100045593969043e-32,2.4301352539022133e-07,0.0,0
21,1,0.5,-2.8590128453449227e-32,2.4284244758172953e-07,0.0,0
22,1,0.5,2.6480812814201183e-32,2.426952580310403e-07,0.0,0
23,1,0.5,-2.4621790975156808e-32,2.42567700418585e-07,0.0,0
24,1,0.5,2.297292237032493e-32,2.4245642725846715e-07,0.0,0
25,1,0.5,-2.1502049794796283e-32,2.423587762751191e-07,0.0,0
26,1,0.5,2.0183128589798737e-32,2.422726085184761e-07,0.0,0
27,1,0.5,-1.8994855293132877e-32,2.4219618945657805e-07,0.0,0
28,1,0.5,1.7919647268299828e-32,2.421281004696931e-07,0.0,0
29,1,0.5,-1.6942873383015914e-32,2.420671721675984e-07,0.0,0
30,1,0.5,1.6052266719582354e-32,2.4201243358428965e-07,0.0,0
31,1,0.5,-1.5237471171018478e-32,2.419630730682253e-07,0.0,0
32,1,0.5,1.4489687878728492e-32,2.419184078867726e-07,0.0,0
33,1,0.5,-1.3801396756184457e-32,2.418778603927032e-07,0.0,0
34,1,0.5,1.3166135280089958e-32,2.4184093918103314e-07,0.0,0
35,1,0.5,-1.257832133852353e-32,2.418072240759623e-07,0.0,0
36,1,0.5,1.2033110219758848e-32,2.417763540827518e-07,0.0,0
37,1,0.5,-1.1526278428352127e-32,2.417480176533227e-07,0.0,0
38,1,0.5,1.1054128579258454e-32,2.417219447710557e-07,0.0,0
