# n, l, j, Dipole Matrix Element (Cm), Resonant Wavlength (m), Linewidth (rad/s), Magnetic Dipole Constant (Hz)
5,0,0.5,3.5837986200000001e-29,-7.9497892329724366e-07,3.6027476436350428e+07,4.08328e+08
6,0,0.5,3.5134283100000000e-29,1.3238791763184124e-06,7.4977443897503540e+06,0
7,0,0.5,8.1561728699999994e-30,7.2820024979516565e-07,2.4279171589764915e+06,0
8,0,0.5,4.2985235400000001e-30,6.0722616418057538e-07,1.1630561478217579e+06,0
9,0,0.5,2.8232906100000000e-30,5.5802975379204731e-07,6.4647627427859732e+05,0
10,0,0.5,1.9924122900000001e-30,5.3238466931795801e-07,3.7076206485538196e+05,0
4,2,1.5,6.8411807599999998e-29,1.4756448574233171e-06,1.0263608568985077e+07,0
5,2,1.5,1.0038366600000000e-29,7.6210304673791341e-07,1.6042369157162241e+06,0
6,2,1.5,8.4953068799999994e-30,6.2080274415970314e-07,2.1255961502452400e+06,0
7,2,1.5,6.3587626300000005e-30,5.6493465422962704e-07,1.5802801091292435e+06,0
8,2,1.5,4.9174431000000002e-30,5.3642485502450341e-07,1.1039146696267778e+06,0
9,2,1.5,3.8152575799999999e-30,5.1967747627766461e-07,7.3085216972642345e+05,0
