# n, l, j, Dipole Matrix Element (Cm), Resonant Wavlength (m), Linewidth (rad/s), Magnetic Dipole Constant (Hz), Electric Quadrupole Constant (Hz)
5,0,0.5,5.0675099000000001e-29,-7.8024149913820893e-07,7.6193086317685664e+07,8.47185e+07,1.24965e+07
6,0,0.5,5.1277061899999998e-29,1.3668737530803474e-06,1.4510238271176156e+07,0,0
7,0,0.5,1.1555991300000000e-29,7.4102114490290379e-07,4.6252594744575275e+06,0,0
8,0,0.5,6.0535420300000003e-30,6.1611508922873046e-07,2.2082441042565643e+06,0,0
9,0,0.5,3.9678678799999997e-30,5.6552780218474009e-07,1.2267781030896532e+06,0,0
10,0,0.5,2.7978555600000001e-30,5.3920517405164973e-07,7.0372328065419837e+05,0,0
4,2,1.5,3.0945978100000003e-29,1.5292616165789043e-06,1.8868898945027208e+06,0,0
5,2,1.5,5.0022265999999997e-30,7.7615705584390035e-07,3.7710421639660979e+05,0,0
6,2,1.5,4.0696080799999997e-30,6.3009663812493894e-07,4.6651668593884521e+05,0,0
7,2,1.5,3.0098143099999999e-30,5.7262068593741083e-07,3.3998660136726144e+05,0,0
8,2,1.5,2.3061112500000000e-30,5.4334994536105062e-07,2.3361736493964618e+05,0,0
9,2,1.5,1.7974102399999999e-30,5.2617429039264853e-07,1.5627483405239420e+05,0,0
4,2,2.5,9.2329233400000000e-29,1.5293659328360846e-06,1.1195318666282237e+07,0,0
5,2,2.5,1.4921896300000000e-29,7.7597863155879976e-07,2.2386746687411917e+06,0,0
6,2,2.5,1.2039257300000000e-29,6.3000679730035724e-07,2.7230519266494820e+06,0,0
7,2,2.5,8.9870511900000007e-30,5.7257128819101849e-07,2.0213334736742952e+06,0,0
8,2,2.5,6.8674636399999995e-30,5.4331791816933590e-07,1.3814109363833629e+06,0,0
9,2,2.5,5.0276616499999998e-30,5.2615397485620774e-07,8.1524051625377347e+05,0,0
