# n, l, j, Dipole Matrix Element (Cm), Resonant Wavlength (m), Linewidth (rad/s), Magnetic Dipole Constant (Hz)
5,1,0.5,3.5837986200000001e-29,7.9497892329724366e-07,3.6027476436350428e+07,3.41734130545215e+09
6,1,0.5,2.8995957599999999e-30,4.2167261775758829e-07,1.5803824669385918e+06,0
7,1,0.5,1.0004453200000000e-30,3.5925973035977256e-07,3.0421077056084672e+05,0
8,1,0.5,5.1717936100000004e-31,3.3517416764212062e-07,1.0011156322166235e+05,0
9,1,0.5,3.9000410800000001e-31,3.2300848251587137e-07,6.3607755596423187e+04,0
5,1,1.5,5.0675099000000001e-29,7.8024149913820893e-07,3.8096543158842832e+07,0
6,1,1.5,4.6885276499999998e-30,4.2029892145824612e-07,2.0863234130333082e+06,0
7,1,1.5,1.7550184899999998e-30,3.5880736157142688e-07,4.6985391906386265e+05,0
8,1,1.5,9.6653192000000007e-31,3.3496257545143701e-07,1.7515681386810660e+05,0
9,1,1.5,6.2739791299999996e-31,3.2289090759602120e-07,8.2395252236876928e+04,0
