n, l, j, Dipole Matrix Element (Cm), Resonant Wavlength (m), Linewidth (rad/s)
6,0,0.5,2.6911998976392776e-29,-8.945929916543301e-07,28514081.07129614
7,0,0.5,2.5437204646209523e-29,1.3592016191828425e-06,0.0
8,0,0.5,6.2630476613195894e-30,7.610998356754565e-07,0.0
9,0,0.5,-3.337967670014962e-30,6.356311348507609e-07,0.0
10,0,0.5,2.2144659378618304e-30,5.840452590253215e-07,0.0
11,0,0.5,-1.628104085423707e-30,5.569956246234089e-07,0.0
12,0,0.5,1.270864735766868e-30,5.408172166311422e-07,0.0
13,0,0.5,-1.0318823858532652e-30,5.302924077511112e-07,0.0
14,0,0.5,8.616607298400167e-31,5.230295847887062e-07,0.0
15,0,0.5,-7.348242172667597e-31,5.177924978541552e-07,0.0
16,0,0.5,6.370426129506757e-31,5.138847800263868e-07,0.0
17,0,0.5,-5.596232448591017e-31,5.108878772409254e-07,0.0
18,0,0.5,4.96994480242541e-31,5.085370646390545e-07,0.0
19,0,0.5,-4.45425308096543e-31,5.066578680677719e-07,0.0
20,0,0.5,4.023265897364288e-31,5.051313091224856e-07,0.0
21,0,0.5,-3.6584757684307914e-31,5.03873890428451e-07,0.0
22,0,0.5,3.3463182399677887e-31,5.028255585743082e-07,0.0
23,0,0.5,-3.0766364707421615e-31,5.019421939735428e-07,0.0
24,0,0.5,2.8416827443426195e-31,5.011907749093994e-07,0.0
25,0,0.5,-2.635450277307158e-31,5.005461769326161e-07,0.0
26,0,0.5,2.4532147627942394e-31,4.999890029427508e-07,0.0
27,0,0.5,-2.2912128388580366e-31,4.99504080316831e-07,0.0
28,0,0.5,2.1464121588727136e-31,4.990794000205137e-07,0.0
29,0,0.5,-2.0163440863925983e-31,4.987053547972432e-07,0.0
30,0,0.5,1.8989800448127402e-31,4.983741835994681e-07,0.0
31,0,0.5,-1.7926388329304302e-31,4.980795606972984e-07,0.0
32,0,0.5,1.6959162568820447e-31,4.978162878689127e-07,0.0
33,0,0.5,-1.6076310768978533e-31,4.975800610875432e-07,0.0
34,0,0.5,1.5267830397927762e-31,4.973672917534218e-07,0.0
35,0,0.5,-1.4525199719372463e-31,4.971749683450214e-07,0.0
36,0,0.5,1.384111741766731e-31,4.970005483563699e-07,0.0
37,0,0.5,-1.320929482614571e-31,4.968418731623216e-07,0.0
38,0,0.5,1.2624288838208618e-31,4.966971004082049e-07,0.0
39,0,0.5,-1.2081366547025483e-31,4.965646499137419e-07,0.0
40,0,0.5,1.1576394844452697e-31,4.964431600860012e-07,0.0
41,0,0.5,-1.1105749797589094e-31,4.963314525684917e-07,0.0
5,2,1.5,-4.206161390473863e-29,3.011151654448568e-06,0.0
6,2,1.5,-2.557213920845189e-29,8.763817592680285e-07,0.0
7,2,1.5,1.2511109518338033e-29,6.725146074959572e-07,0.0
8,2,1.5,-7.903720373611542e-30,6.012154917149201e-07,0.0
9,2,1.5,5.6410203500717295e-30,5.665590490609429e-07,0.0
10,2,1.5,-4.317443419630154e-30,5.467463571702397e-07,0.0
11,2,1.5,3.456942748550416e-30,5.342431462359442e-07,0.0
12,2,1.5,-2.856760287679899e-30,5.258031245786397e-07,0.0
13,2,1.5,2.416658222635874e-30,5.198185440727852e-07,0.0
14,2,1.5,-2.0816244463307657e-30,5.154119590359878e-07,0.0
15,2,1.5,1.8190450115655116e-30,5.120687091049526e-07,0.0
16,2,1.5,-1.60840360760182e-30,5.094695787538492e-07,0.0
17,2,1.5,1.4361736103310826e-30,5.074075198525959e-07,0.0
18,2,1.5,-1.2930903624793606e-30,5.057432170874911e-07,0.0
19,2,1.5,1.1726049468435474e-30,5.043800058598493e-07,0.0
20,2,1.5,-1.0699635658680311e-30,5.032490396881401e-07,0.0
21,2,1.5,9.816363858453424e-31,5.023001682507806e-07,0.0
22,2,1.5,-9.049505841959007e-31,5.014961363499422e-07,0.0
23,2,1.5,8.378473939336532e-31,5.008087862597065e-07,0.0
24,2,1.5,-7.787169833154798e-31,5.002165077190643e-07,0.0
25,2,1.5,7.262836294390789e-31,4.997024868985723e-07,0.0
26,2,1.5,-6.795242283722335e-31,4.992534797979882e-07,0.0
27,2,1.5,6.376094072632969e-31,4.988589375233033e-07,0.0
28,2,1.5,-5.998602727904181e-31,4.985103723706521e-07,0.0
29,2,1.5,5.657161753635456e-31,4.98200891667106e-07,0.0
30,2,1.5,-5.347103619612281e-31,4.979248503833676e-07,0.0
31,2,1.5,5.064513632263121e-31,4.976775890861422e-07,0.0
32,2,1.5,-4.806086055334707e-31,4.974552340423773e-07,0.0
33,2,1.5,4.569011754117395e-31,4.97254543153672e-07,0.0
34,2,1.5,-4.350889626240719e-31,4.970727860750036e-07,0.0
35,2,1.5,4.149656176820161e-31,4.969076501032878e-07,0.0
36,2,1.5,-3.963529065200382e-31,4.967571656849504e-07,0.0
37,2,1.5,3.7909615128489157e-31,4.966196469975193e-07,0.0
38,2,1.5,-3.630605223369624e-31,4.964936442128458e-07,0.0
39,2,1.5,3.4812800264964956e-31,4.963779048859237e-07,0.0
40,2,1.5,-3.341948876313748e-31,4.962713425263991e-07,0.0
41,2,1.5,3.2116971374479787e-31,4.961730108636431e-07,0.0
