n, l, j, Dipole Matrix Element (Cm), Resonant Wavlength (m), Linewidth (rad/s)
6,1,0.5,2.6911998976392776e-29,8.945929916543301e-07,0.0
7,1,0.5,1.6726325939883243e-30,4.594459220715498e-07,0.0
8,1,0.5,4.856030111579005e-31,3.889713465333922e-07,0.0
9,1,0.5,4.93009271785456e-31,3.618338205979628e-07,0.0
10,1,0.5,-3.243767081226946e-31,3.481068453930626e-07,0.0
11,1,0.5,2.3544600406985538e-31,3.4009645550893587e-07,0.0
12,1,0.5,-1.8174976626176383e-31,3.3498108647769807e-07,0.0
13,1,0.5,1.4629248668536715e-31,3.31502683079997e-07,0.0
14,1,0.5,-1.2135224212964227e-31,3.290245168518738e-07,0.0
15,1,0.5,1.0297034572863052e-31,3.2719398539507407e-07,0.0
16,1,0.5,-8.892785478616879e-32,3.258021537673768e-07,0.0
17,1,0.5,7.789258280290312e-32,3.247184760983763e-07,0.0
18,1,0.5,-6.902000656995055e-32,3.2385781857289287e-07,0.0
19,1,0.5,6.17506107349094e-32,3.231626642304721e-07,0.0
20,1,0.5,-5.569995238657901e-32,3.225929807652938e-07,0.0
21,1,0.5,5.059568472762227e-32,3.221201881452241e-07,0.0
22,1,0.5,-4.623979506759035e-32,3.2172342887519345e-07,0.0
23,1,0.5,4.248506452099628e-32,3.213871859489028e-07,0.0
24,1,0.5,-3.921989465807033e-32,3.2109971805028646e-07,0.0
25,1,0.5,3.6358238784802495e-32,3.20852005882779e-07,0.0
26,1,0.5,-3.3832748218318196e-32,3.2063702696775283e-07,0.0
27,1,0.5,3.1590000690664023e-32,3.204492466727156e-07,0.0
28,1,0.5,-2.9587111257629385e-32,3.2028425467739494e-07,0.0
29,1,0.5,2.778928146553073e-32,3.201385011730259e-07,0.0
30,1,0.5,-2.616799838805932e-32,3.2000910266007747e-07,0.0
31,1,0.5,2.469969156070143e-32,3.198936970936213e-07,0.0
32,1,0.5,-2.3364718112940497e-32,3.197903345298037e-07,0.0
33,1,0.5,2.2146586577625493e-32,3.19697393654652e-07,0.0
34,1,0.5,-2.1031356509173718e-32,3.1961351741545726e-07,0.0
35,1,0.5,2.0007169513483112e-32,3.195375629115779e-07,0.0
36,1,0.5,-1.9063879220023277e-32,3.19468562041791e-07,0.0
37,1,0.5,1.8192757001086022e-32,3.194056903454092e-07,0.0
38,1,0.5,-1.7386255880494003e-32,3.1934824214201803e-07,0.0
39,1,0.5,1.6637819748180656e-32,3.192956105543558e-07,0.0
40,1,0.5,-1.5941728094618866e-32,3.192472713472164e-07,0.0
41,1,0.5,1.5292968851403053e-32,3.192027697708191e-07,0.0
6,1,1.5,3.7911806443954706e-29,8.523473060245015e-07,0.0
7,1,1.5,3.4531769682339585e-30,4.556556792845617e-07,0.0
8,1,1.5,1.3069315608941023e-30,3.877245321293302e-07,0.0
9,1,1.5,1.1289896409003607e-30,3.6124992311015295e-07,0.0
10,1,1.5,-7.784593236631802e-31,3.477815591420838e-07,0.0
11,1,1.5,5.829802705697691e-31,3.398953206086976e-07,0.0
12,1,1.5,-4.600197075250395e-31,3.348474967347318e-07,0.0
13,1,1.5,3.7626082779171847e-31,3.3140919917262387e-07,0.0
14,1,1.5,-3.159034002562095e-31,3.28956434186693e-07,0.0
15,1,1.5,2.7055752608309665e-31,3.271428106375036e-07,0.0
16,1,1.5,-2.3537923462325987e-31,3.257626874305657e-07,0.0
17,1,1.5,2.0738599302875523e-31,3.246873835633732e-07,0.0
18,1,1.5,-1.8464555102113358e-31,3.23832878119711e-07,0.0
19,1,1.5,1.6585347909195538e-31,3.2314234769307127e-07,0.0
20,1,1.5,-1.500987619304473e-31,3.2257620819026417e-07,0.0
21,1,1.5,1.3672677162362477e-31,3.221061783423047e-07,0.0
22,1,1.5,-1.2525558970947506e-31,3.217116051882545e-07,0.0
23,1,1.5,1.1532297666182036e-31,3.2137711504647696e-07,0.0
24,1,1.5,-1.0665167675090367e-31,3.210910691154848e-07,0.0
25,1,1.5,9.902608171461456e-32,3.208445227713705e-07,0.0
26,1,1.5,-9.227615014615347e-32,3.206305088212229e-07,0.0
27,1,1.5,8.626608690195705e-32,3.204435341692622e-07,0.0
28,1,1.5,-8.08862205451937e-32,3.2027922011905994e-07,0.0
29,1,1.5,7.604707539547496e-32,3.201340412309621e-07,0.0
30,1,1.5,-7.167497831125532e-32,3.2000513299238104e-07,0.0
31,1,1.5,6.770875747642934e-32,3.198901483023413e-07,0.0
32,1,1.5,-6.40972301504587e-32,3.197871490889782e-07,0.0
33,1,1.5,6.079726885469173e-32,3.196945235514087e-07,0.0
34,1,1.5,-5.777229672614766e-32,3.1961092232091087e-07,0.0
35,1,1.5,5.499110566714235e-32,3.195352087496436e-07,0.0
36,1,1.5,-5.24269193539154e-32,3.194664198598821e-07,0.0
37,1,1.5,5.005664441435188e-32,3.1940373541631713e-07,0.0
38,1,1.5,-4.786026715975453e-32,3.193464532443855e-07,0.0
39,1,1.5,4.582036418008336e-32,3.192939693922488e-07,0.0
40,1,1.5,-4.39217025496899e-32,3.1924576207886907e-07,0.0
41,1,1.5,4.215091125055877e-32,3.19201378623684e-07,0.0
