# n, l, j, Dipole Matrix Element (Cm), Resonant Wavlength (m), Linewidth (rad/s), Magnetic Dipole Constant (Hz)
4,0,0.5,3.473560304504784e-29,-7.667017797571291e-07,37729775.038743556,3.363e6
5,0,0.5,2.3357854736672995e-29,1.252552879405378e-06,0.0,0
6,0,0.5,-5.475434109778526e-30,6.940674184181625e-07,0.0,0
7,0,0.5,2.8809051982531757e-30,5.803358260576976e-07,0.0,0
8,0,0.5,-1.898804530623383e-30,5.341167066407819e-07,0.0,0
9,0,0.5,1.3902592226160792e-30,5.100614630411927e-07,0.0,0
10,0,0.5,-1.0820268981141144e-30,4.957524217039257e-07,0.0,0
11,0,0.5,8.766023045032633e-31,4.864832310635469e-07,0.0,0
12,0,0.5,-7.307076395887083e-31,4.801087905097732e-07,0.0,0
13,0,0.5,6.222518582366692e-31,4.7552534293345986e-07,0.0,0
14,0,0.5,-5.388023858924947e-31,4.721135337650587e-07,0.0,0
15,0,0.5,4.728389138546187e-31,4.6950231636547174e-07,0.0,0
16,0,0.5,-4.195527071161863e-31,4.6745767982308466e-07,0.0,0
17,0,0.5,3.7573022100275003e-31,4.658257773161557e-07,0.0,0
18,0,0.5,-3.391454096460758e-31,4.6450192831014436e-07,0.0,0
19,0,0.5,3.082095930676181e-31,4.634128141445822e-07,0.0,0
20,0,0.5,-2.8176005245541546e-31,4.625057954546237e-07,0.0,0
21,0,0.5,2.589272763695899e-31,4.617422613245029e-07,0.0,0
22,0,0.5,-2.3904876434483203e-31,4.610933549613316e-07,0.0,0
23,0,0.5,2.2161142526882286e-31,4.605371498195446e-07,0.0,0
24,0,0.5,-2.0621210704747817e-31,4.600567382131081e-07,0.0,0
25,0,0.5,1.9252994749201078e-31,4.5963890948965325e-07,0.0,0
26,0,0.5,-1.8030662389450531e-31,4.5927321823910134e-07,0.0,0
27,0,0.5,1.6933199654394092e-31,4.5895131604789503e-07,0.0,0
28,0,0.5,-1.594335083244761e-31,4.5866646474845044e-07,0.0,0
29,0,0.5,1.504682459972963e-31,4.5841317682679936e-07,0.0,0
30,0,0.5,-1.4231691796228407e-31,4.581869463234541e-07,0.0,0
31,0,0.5,1.348792318650643e-31,4.5798404506135556e-07,0.0,0
32,0,0.5,-1.2807030836018491e-31,4.5780136665569897e-07,0.0,0
33,0,0.5,1.2181787107059782e-31,4.576363058970538e-07,0.0,0
34,0,0.5,-1.1606002457459513e-31,4.5748666461533775e-07,0.0,0
35,0,0.5,1.1074348243500677e-31,4.5735057757370286e-07,0.0,0
36,0,0.5,-1.0582214301134893e-31,4.572264536592397e-07,0.0,0
37,0,0.5,1.0125593635554704e-31,4.571129288609976e-07,0.0,0
38,0,0.5,-9.7009884214034e-32,4.5700882840738915e-07,0.0,0
39,0,0.5,9.305332883827439e-32,4.569131360769812e-07,0.0,0
40,0,0.5,-8.935929647611542e-32,4.568249691688244e-07,0.0,0
41,0,0.5,8.590396905914565e-32,4.5674355796898567e-07,0.0,0
4,2,1.5,3.2356677753433168e-31,6.966089130533545e-07,0.0,0
5,2,1.5,5.730827669758735e-31,5.833327134458683e-07,0.0,0
6,2,1.5,-6.076194136906317e-31,5.360986285262694e-07,0.0,0
7,2,1.5,5.3603859799841885e-31,5.113633201794263e-07,0.0,0
8,2,1.5,-4.5978946048540095e-31,4.966387252106149e-07,0.0,0
9,2,1.5,3.948184944585467e-31,4.871096954853381e-07,0.0,0
10,2,1.5,-3.418306366755626e-31,4.805664929981921e-07,0.0,0
11,2,1.5,2.9882714427922146e-31,4.7586931541205754e-07,0.0,0
12,2,1.5,-2.636965192477803e-31,4.723783058944889e-07,0.0,0
13,2,1.5,2.347076403051356e-31,4.6971033747520326e-07,0.0,0
14,2,1.5,-2.1052828728606996e-31,4.6762401712749457e-07,0.0,0
15,2,1.5,1.9014921118411299e-31,4.6596083137228477e-07,0.0,0
16,2,1.5,-1.7280515201233666e-31,4.646130580911373e-07,0.0,0
17,2,1.5,1.5791154104438487e-31,4.6350534141725445e-07,0.0,0
18,2,1.5,-1.450173793109935e-31,4.625836439374378e-07,0.0,0
19,2,1.5,1.337709678118369e-31,4.6180837427250766e-07,0.0,0
20,2,1.5,-1.2389509122203846e-31,4.61149974524316e-07,0.0,0
21,2,1.5,1.1516897506153342e-31,4.6058600795835806e-07,0.0,0
22,2,1.5,-1.0741506508146171e-31,4.6009918971435966e-07,0.0,0
23,2,1.5,1.0048924786158322e-31,4.5967602627450017e-07,0.0,0
24,2,1.5,-9.427354355441303e-32,4.5930585730218266e-07,0.0,0
25,2,1.5,8.867059010898402e-32,4.5898016911666886e-07,0.0,0
26,2,1.5,-8.359943819543268e-32,4.5869209506829745e-07,0.0,0
27,2,1.5,7.899231444227338e-32,4.5843604674560866e-07,0.0,0
28,2,1.5,-7.4792107266307e-32,4.5820743821210213e-07,0.0,0
29,2,1.5,7.095039686953205e-32,4.580024773468953e-07,0.0,0
30,2,1.5,-6.742589893279976e-32,4.5781800622882365e-07,0.0,0
31,2,1.5,6.418322558714385e-32,4.576513778008159e-07,0.0,0
32,2,1.5,-6.119189165106733e-32,4.575003596748059e-07,0.0,0
33,2,1.5,5.842551216413779e-32,4.573630584515956e-07,0.0,0
34,2,1.5,-5.58611500073905e-32,4.5723785969779866e-07,0.0,0
35,2,1.5,5.34787824021363e-32,4.571233799802375e-07,0.0,0
36,2,1.5,-5.126086195012692e-32,4.5701842826409123e-07,0.0,0
37,2,1.5,4.9191953518895896e-32,4.569219746403454e-07,0.0,0
38,2,1.5,-4.725843228179057e-32,4.568331248326666e-07,0.0,0
39,2,1.5,4.5448231351455035e-32,4.567510992933568e-07,0.0,0
40,2,1.5,-4.3750629884251257e-32,4.5667521596715804e-07,0.0,0
41,2,1.5,4.2156074326719233e-32,4.566048760047955e-07,0.0,0
4,2,2.5,9.569838492187383e-31,6.96659021441218e-07,0.0,0
5,2,2.5,1.7268960719240453e-30,5.833501373426526e-07,0.0,0
6,2,2.5,-1.8273355309134677e-30,5.361061591572509e-07,0.0,0
7,2,2.5,1.6110804111745334e-30,5.1136724670714e-07,0.0,0
8,2,2.5,-1.3815246391413629e-30,4.966410588575073e-07,0.0,0
9,2,2.5,1.1861273265171614e-30,4.871112120871905e-07,0.0,0
10,2,2.5,-1.0268459527670877e-30,4.805675424470562e-07,0.0,0
