# n, l, j, Dipole Matrix Element (Cm), Resonant Wavlength (m), Linewidth (rad/s), Magnetic Dipole Constant (Hz)
4,1,0.5,2.4567915305247856e-29,7.701096328391032e-07,3.742265168956162e7,1.270069352e8
5,1,0.5,1.6486521983755884e-30,4.0483481978580963e-07,0.0,0
6,1,0.5,5.035883078674525e-31,3.448361795142991e-07,0.0,0
7,1,0.5,2.338088572241743e-31,3.2185487507273836e-07,0.0,0
8,1,0.5,-2.3510477129860015e-31,3.102945492846321e-07,0.0,0
9,1,0.5,1.6715128479379886e-31,3.0358030624312526e-07,0.0,0
10,1,0.5,-1.271089404002062e-31,2.9930944704398987e-07,0.0,0
11,1,0.5,1.011741052907545e-31,2.96414797369745e-07,0.0,0
12,1,0.5,-8.321191849767608e-32,2.9435820409499506e-07,0.0,0
13,1,0.5,7.01376396823982e-32,2.928426383304122e-07,0.0,0
14,1,0.5,-6.025130001026608e-32,2.9169261648659925e-07,0.0,0
15,1,0.5,5.254735761919954e-32,2.9079878347375534e-07,0.0,0
16,1,0.5,-4.639662138637695e-32,2.9008999320473586e-07,0.0,0
17,1,0.5,4.1386985373756746e-32,2.8951828063261124e-07,0.0,0
18,1,0.5,-3.72381313403652e-32,2.8905032518984457e-07,0.0,0
19,1,0.5,3.3753234649651445e-32,2.8866237937909705e-07,0.0,0
20,1,0.5,-3.079031348096568e-32,2.8833713943474405e-07,0.0,0
21,1,0.5,2.8244541527334365e-32,2.880617503948984e-07,0.0,0
22,1,0.5,-2.603694847851752e-32,2.8782649782633173e-07,0.0,0
23,1,0.5,2.4106982471301463e-32,2.8762392826464034e-07,0.0,0
24,1,0.5,-2.240748490550404e-32,2.8744824472372415e-07,0.0,0
25,1,0.5,2.0901215752777694e-32,2.872948830134676e-07,0.0,0
26,1,0.5,-1.9558400824421454e-32,2.871602095020897e-07,0.0,0
27,1,0.5,1.8354968300727718e-32,2.870413020507156e-07,0.0,0
28,1,0.5,-1.7271259597226144e-32,2.869357889190779e-07,0.0,0
