n, l, j, Dipole Matrix Element (Cm), Resonant Wavlength (m), Linewidth (rad/s)
5,0,0.5,2.5305312470339485e-29,-7.949789232972437e-07,35925308.32877266
6,0,0.5,2.469381238221471e-29,1.3238791763184124e-06,0.0
7,0,0.5,5.719324353637493e-30,7.282002497951657e-07,0.0
8,0,0.5,3.0215298472047133e-30,6.072261641805754e-07,0.0
9,0,0.5,2.0106224848675132e-30,5.580297537920473e-07,0.0
10,0,0.5,-1.4733112257064059e-30,5.32384669317958e-07,0.0
11,0,0.5,1.1474380939838088e-30,5.171091984722732e-07,0.0
12,0,0.5,-9.301220350298781e-31,5.072024442192293e-07,0.0
13,0,0.5,7.756931929268556e-31,5.003827346163707e-07,0.0
14,0,0.5,-6.608332289540363e-31,4.954748849689614e-07,0.0
15,0,0.5,5.724144573699128e-31,4.91818851571142e-07,0.0
16,0,0.5,-5.024932137572942e-31,4.890188740079575e-07,0.0
17,0,0.5,4.459881675242247e-31,4.868251593794724e-07,0.0
18,0,0.5,-3.9950235825249586e-31,4.850733674675248e-07,0.0
19,0,0.5,3.6068184732053714e-31,4.836516044479037e-07,0.0
20,0,0.5,-3.278461053667683e-31,4.824814523604731e-07,0.0
21,0,0.5,2.9976478952772176e-31,4.815065797614307e-07,0.0
22,0,0.5,-2.755175321150023e-31,4.806856466771386e-07,0.0
23,0,0.5,2.5440287825244734e-31,4.799877422780215e-07,0.0
24,0,0.5,-2.358774167225289e-31,4.793893691655811e-07,0.0
25,0,0.5,2.195140598988128e-31,4.788724011395166e-07,0.0
26,0,0.5,-2.0497281140462573e-31,4.784226702380012e-07,0.0
27,0,0.5,1.9197987964016259e-31,4.780289702744913e-07,0.0
28,0,0.5,-1.80312491939559e-31,4.776823419223285e-07,0.0
29,0,0.5,1.6978767920352233e-31,4.773755517715256e-07,0.0
30,0,0.5,-1.602538748193103e-31,4.771027073379995e-07,0.0
31,0,0.5,1.5158454026830622e-31,4.768589688600907e-07,0.0
32,0,0.5,-1.4367327149805937e-31,4.766403309901822e-07,0.0
33,0,0.5,1.3643000143448188e-31,4.764434556262516e-07,0.0
34,0,0.5,-1.2977802388882052e-31,4.7626554261458063e-07,0.0
35,0,0.5,1.236516398122663e-31,4.761042288116976e-07,0.0
36,0,0.5,-1.179942799238079e-31,4.759575086031015e-07,0.0
37,0,0.5,1.1275699556840755e-31,4.75823670812919e-07,0.0
38,0,0.5,-1.078972366224291e-31,4.75701248247223e-07,0.0
39,0,0.5,1.033778551046588e-31,4.755889770567909e-07,0.0
40,0,0.5,-9.91662876043406e-32,4.7548576379199144e-07,0.0
41,0,0.5,9.523388037138791e-32,4.753906585278296e-07,0.0
4,2,1.5,4.82665413e-29,1.475644857423317e-06,0.0
5,2,1.5,8.09338352e-30,7.621030467379134e-07,0.0
6,2,1.5,6.41475583e-30,6.208027441597031e-07,0.0
7,2,1.5,-4.5864440686048855e-30,5.64934654229627e-07,0.0
8,2,1.5,3.545494908343847e-30,5.364248550245034e-07,0.0
9,2,1.5,-2.8305102091259405e-30,5.196774762776646e-07,0.0
10,2,1.5,2.3278158128929803e-30,5.089421017183316e-07,0.0
11,2,1.5,-1.9589952284529944e-30,5.016180564551725e-07,0.0
12,2,1.5,1.6789292626815005e-30,4.963847862898436e-07,0.0
13,2,1.5,-1.4602622011092695e-30,4.925089896311943e-07,0.0
14,2,1.5,1.2855974430715611e-30,4.895550620166154e-07,0.0
15,2,1.5,-1.1434094645073777e-30,4.872501969797165e-07,0.0
16,2,1.5,1.025792449457275e-30,4.854160974244045e-07,0.0
17,2,1.5,-9.271606482571301e-31,4.839320556636141e-07,0.0
18,2,1.5,8.434660712347504e-31,4.827138942428829e-07,0.0
19,2,1.5,-7.717099992431937e-31,4.817014063107793e-07,0.0
20,2,1.5,7.096280160460801e-31,4.808505771799258e-07,0.0
21,2,1.5,-6.554811228073409e-31,4.801286084694171e-07,0.0
22,2,1.5,6.079137208199786e-31,4.795106442782064e-07,0.0
23,2,1.5,-5.658549028209843e-31,4.789775633918117e-07,0.0
24,2,1.5,5.28448482857536e-31,4.785144575278448e-07,0.0
25,2,1.5,-4.9500251293959954e-31,4.78109561818208e-07,0.0
26,2,1.5,4.649522745448073e-31,4.777534898751113e-07,0.0
27,2,1.5,-4.3783275376414675e-31,4.774386779937857e-07,0.0
28,2,1.5,4.132578983001519e-31,4.771589754831119e-07,0.0
29,2,1.5,-3.9090479670130473e-31,4.769093387312155e-07,0.0
30,2,1.5,3.7050147767204815e-31,4.7668559998606683e-07,0.0
31,2,1.5,-3.5181740493100073e-31,4.7648429066901027e-07,0.0
32,2,1.5,3.3465600249769547e-31,4.76302504980356e-07,0.0
33,2,1.5,-3.1884872485802803e-31,4.761377936131667e-07,0.0
34,2,1.5,3.042503149443399e-31,4.7598808020202656e-07,0.0
35,2,1.5,-2.9073498296578614e-31,4.7585159510699035e-07,0.0
36,2,1.5,2.781933057400081e-31,4.757268225357631e-07,0.0
37,2,1.5,-2.6652969380934786e-31,4.7561245801599715e-07,0.0
38,2,1.5,2.556603098074477e-31,4.755073739629474e-07,0.0
39,2,1.5,-2.455113474241868e-31,4.754105916262113e-07,0.0
40,2,1.5,2.3601760085789465e-31,4.753212580984396e-07,0.0
41,2,1.5,-2.271212695841658e-31,4.752386273674239e-07,0.0
