n, l, j, Dipole Matrix Element (Cm), Resonant Wavlength (m), Linewidth (rad/s)
5,1,0.5,2.5305312470339485e-29,7.949789232972437e-07,0.0
6,1,0.5,1.9963679347602577e-30,4.216726177575883e-07,0.0
7,1,0.5,6.89436373866155e-31,3.5925973035977256e-07,0.0
8,1,0.5,3.5371083528785348e-31,3.351741676421206e-07,0.0
9,1,0.5,-3.6611121984937705e-31,3.2300848251587137e-07,0.0
10,1,0.5,2.684460613377662e-31,3.1591776066296407e-07,0.0
11,1,0.5,-2.0876374827256984e-31,3.113956976500032e-07,0.0
12,1,0.5,1.6896362903133382e-31,3.083245797863391e-07,0.0
13,1,0.5,-1.407434386375767e-31,3.061390448262733e-07,0.0
14,1,0.5,1.1980813995239148e-31,3.0452628483098523e-07,0.0
15,1,0.5,-1.037297953165109e-31,3.0330112184785723e-07,0.0
16,1,0.5,9.103944077510955e-32,3.0234796341018e-07,0.0
17,1,0.5,-8.079934611889999e-32,3.015914956830644e-07,0.0
18,1,0.5,7.238437547662988e-32,3.009808794309349e-07,0.0
19,1,0.5,-6.53626230937412e-32,3.00480758103881e-07,0.0
20,1,0.5,5.942662034257066e-32,3.000659083101974e-07,0.0
21,1,0.5,-5.43518500768275e-32,2.997179346886956e-07,0.0
22,1,0.5,4.997074767095425e-32,2.994231605297924e-07,0.0
23,1,0.5,-4.6155860124368134e-32,2.991712430308566e-07,0.0
24,1,0.5,4.2808619981438096e-32,2.9895424146373004e-07,0.0
25,1,0.5,-3.985167168075612e-32,2.98765976219026e-07,0.0
26,1,0.5,3.722350880875386e-32,2.9860157921907046e-07,0.0
27,1,0.5,-3.487465145899768e-32,2.9845717297357644e-07,0.0
28,1,0.5,3.2764873175949413e-32,2.983296378034242e-07,0.0
29,1,0.5,-3.086115696019152e-32,2.9821644056042244e-07,0.0
30,1,0.5,2.9136166966898464e-32,2.9811550692836974e-07,0.0
31,1,0.5,-2.756709073313966e-32,2.9802512506222937e-07,0.0
32,1,0.5,2.6134751675631815e-32,2.9794387206443956e-07,0.0
33,1,0.5,-2.4822921158436137e-32,2.9787055730916995e-07,0.0
34,1,0.5,2.36177800760086e-32,2.9780417833794915e-07,0.0
35,1,0.5,-2.2507493343999434e-32,2.977438862348462e-07,0.0
36,1,0.5,2.148187087342043e-32,2.976889582200481e-07,0.0
37,1,0.5,-2.053209519104408e-32,2.976387757903611e-07,0.0
38,1,0.5,1.9650501000598942e-32,2.9759280715866666e-07,0.0
39,1,0.5,-1.8830395626898144e-32,2.975505930518158e-07,0.0
40,1,0.5,1.8065911674077196e-32,2.9751173515192845e-07,0.0
41,1,0.5,-1.7351885472768383e-32,2.974758866329959e-07,0.0
5,1,1.5,3.570680906736364e-29,7.802414991382089e-07,0.0
6,1,1.5,3.24334850662252e-30,4.202989214582461e-07,0.0
7,1,1.5,1.211009978443159e-30,3.588073615714269e-07,0.0
8,1,1.5,6.654559782534191e-31,3.34962575451437e-07,0.0
9,1,1.5,-6.381209800714917e-31,3.228909075960212e-07,0.0
10,1,1.5,4.73721586475246e-31,3.1584519069878787e-07,0.0
11,1,1.5,-3.7157671762882315e-31,3.113475822209916e-07,0.0
12,1,1.5,3.0260135003606536e-31,3.082909663388568e-07,0.0
13,1,1.5,-2.5322183188333147e-31,3.061146034228138e-07,0.0
14,1,1.5,2.1631308769528826e-31,3.0450793974446473e-07,0.0
15,1,1.5,-1.8779759266539507e-31,3.0328699230193903e-07,0.0
16,1,1.5,1.6518252091353017e-31,3.023368446963763e-07,0.0
17,1,1.5,-1.4686239035067252e-31,3.0158258617443875e-07,0.0
18,1,1.5,1.3175877919321247e-31,3.009736284316663e-07,0.0
19,1,1.5,-1.19121751087423e-31,3.004747769015948e-07,0.0
20,1,1.5,1.08414435833251e-31,3.00060916043276e-07,0.0
21,1,1.5,-9.924289672860102e-32,2.997137242490282e-07,0.0
22,1,1.5,9.131188016717579e-32,2.994195764363455e-07,0.0
23,1,1.5,-8.43959782956316e-32,2.9916816669229487e-07,0.0
24,1,1.5,7.832030146160573e-32,2.9895158113405215e-07,0.0
25,1,1.5,-7.294720238348554e-32,2.987636600101153e-07,0.0
26,1,1.5,6.816695714448719e-32,2.985995501497837e-07,0.0
27,1,1.5,-6.389109655182623e-32,2.9845538540328316e-07,0.0
28,1,1.5,6.004755077735947e-32,2.983280548240304e-07,0.0
29,1,1.5,-5.657705918182966e-32,2.982150320630515e-07,0.0
30,1,1.5,5.343047782617173e-32,2.9811424815214794e-07,0.0
31,1,1.5,-5.056673444684429e-32,2.98023995492375e-07,0.0
32,1,1.5,4.795125674332941e-32,2.97942854586677e-07,0.0
33,1,1.5,-4.555475172373462e-32,2.9786963755445905e-07,0.0
34,1,1.5,4.3352248056008147e-32,2.978033441700625e-07,0.0
35,1,1.5,-4.132233799774252e-32,2.9774312734625355e-07,0.0
36,1,1.5,3.9446572297922246e-32,2.9768826581069356e-07,0.0
37,1,1.5,-3.77089732770642e-32,2.9763814231044154e-07,0.0
38,1,1.5,3.609564029210172e-32,2.9759222610123127e-07,0.0
39,1,1.5,-3.459442770975764e-32,2.9755005878445004e-07,0.0
40,1,1.5,3.3194680484810235e-32,2.97511242779319e-07,0.0
41,1,1.5,-3.1887015769245213e-32,2.9747543188406436e-07,0.0
